age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
51,Self-emp-not-inc,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
45,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
17,Private,6.0,Never-married,Sales,Other-relative,White,Male,0,0,30,United-States
28,Private,9.0,Never-married,Other-service,Own-child,White,Female,0,0,32,United-States
26,Private,7.0,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
40,Private,8.0,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
33,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
40,Private,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,3325,0,40,United-States
51,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
40,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
22,?,4.5,Married-civ-spouse,?,Wife,Other,Female,0,0,40,Mexico
32,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,60,United-States
29,Private,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States
45,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
55,State-gov,16.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India
47,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,Italy
23,Private,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States
46,Private,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
27,Private,12.0,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,35,Philippines
32,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
48,Private,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35,United-States
38,Private,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
19,Private,10.0,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States
65,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
31,Private,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States
38,Private,10.0,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States
27,Private,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
24,Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
22,Private,10.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States
61,Private,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
18,Private,10.0,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States
48,?,5.0,Separated,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States
22,Private,10.0,Never-married,Sales,Own-child,White,Female,0,0,25,United-States
41,Private,14.0,Widowed,Prof-specialty,Not-in-family,White,Female,10520,0,38,United-States
45,Private,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
52,Private,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,46,United-States
50,Private,6.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States
42,State-gov,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
41,Private,15.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,?
29,Private,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States
44,State-gov,10.0,Divorced,Adm-clerical,Not-in-family,Black,Female,0,1590,40,United-States
40,Private,12.0,Divorced,Prof-specialty,Unmarried,White,Female,0,0,32,United-States
34,Private,9.0,Divorced,Craft-repair,Unmarried,Black,Female,1471,0,40,United-States
33,Private,9.0,Never-married,Machine-op-inspct,Not-in-family,Other,Male,0,0,50,United-States
23,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
23,Federal-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
22,Self-emp-not-inc,10.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States
63,?,9.0,Divorced,?,Not-in-family,White,Female,0,2205,40,United-States
54,Local-gov,4.5,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,2001,35,United-States
21,Local-gov,9.0,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States
26,Private,7.0,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,20,United-States
45,Private,5.0,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,India
54,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
39,Self-emp-not-inc,14.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States
60,Private,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?
31,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
39,Private,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States
17,Private,6.0,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States
18,Private,6.0,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States
29,Private,6.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico
35,Private,10.0,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,United-States
45,Private,9.0,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States
20,Private,10.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States
47,Private,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
58,Self-emp-inc,6.0,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,40,United-States
70,Private,6.0,Widowed,Transport-moving,Unmarried,White,Female,0,0,40,Greece
28,Private,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,70,United-States
